station,day,max_temp_f,min_temp_f,precip_in,avg_wind_speed_kts,avg_wind_drct,min_rh,avg_rh,max_rh,max_wind_speed_kts
PHX,2000-04-28,97.0,70.0,0.0,6.810585,240.38065,8.73212,16.159073,28.9554,14.0
PHX,2000-04-29,87.0,70.0,0.0,8.626741,261.41382,10.3999,14.212092,19.731,15.0
PHX,2000-04-30,90.0,67.0,0.0,4.584958,231.94586,8.73212,15.41553,24.3158,9.0
PHX,2000-05-01,97.0,63.0,0.0,4.128134,236.85695,8.69407,17.086712,36.6844,12.0
PHX,2000-05-02,99.0,68.0,0.0,4.8885794,140.50694,9.88275,16.160307,28.6754,8.0
PHX,2000-05-03,99.0,68.0,0.0,4.2618384,110.17194,10.4993,15.838524,26.4585,8.0
PHX,2000-05-04,99.0,70.0,0.0,3.8718662,339.98526,12.5166,17.790428,30.1848,8.0
PHX,2000-05-05,98.0,68.0,0.0,5.5069637,260.20264,12.8352,20.381866,51.325,11.0
PHX,2000-05-06,99.0,71.0,0.0,7.091922,227.98122,13.0572,17.665005,24.6002,18.0
PHX,2000-05-07,97.0,70.0,0.0,6.0891366,186.18837,13.7466,20.913877,28.6264,11.0
PHX,2000-05-08,92.0,74.0,0.0,6.7771587,244.36559,25.4946,31.607782,41.2149,12.0
PHX,2000-05-09,96.0,72.0,0.0,4.417827,266.4961,20.0922,29.499063,45.871,10.0
PHX,2000-05-10,100.0,74.0,0.0,10.091922,231.65242,15.9732,27.220806,40.228,20.0
PHX,2000-05-11,84.0,71.0,0.0,8.796658,263.70938,15.2063,22.076649,43.3811,14.0
PHX,2000-05-12,87.0,65.0,0.0,3.8300836,259.9247,13.5359,15.6681185,20.8029,8.0
PHX,2000-05-13,92.0,63.0,0.0,3.7938719,245.45358,12.2834,17.410173,26.4585,9.0
PHX,2000-05-14,99.0,66.0,0.0,4.08078,102.559364,4.13423,13.748567,21.0457,7.0
PHX,2000-05-15,100.0,70.0,0.0,5.788301,170.96082,7.45561,16.02679,98.2339,14.0
PHX,2000-05-16,87.0,68.0,0.0,12.2116995,252.19537,9.83169,15.299241,22.2622,21.0
PHX,2000-05-17,83.0,60.0,0.0,4.9108634,261.65225,13.9214,21.9755,34.5113,11.0
PHX,2000-05-18,90.0,65.0,0.0,5.8077993,235.77943,12.8371,20.338875,29.874,10.0
PHX,2000-05-19,95.0,69.0,0.0,4.7966576,326.0977,13.1457,20.149897,33.4395,10.0
PHX,2000-05-20,101.0,72.0,0.0,4.4707522,164.21817,10.0765,18.401917,30.9724,9.0
PHX,2000-05-21,107.0,76.0,0.0,4.2952647,180.39828,8.63205,15.24085,25.7921,10.0
PHX,2000-05-22,109.0,76.0,0.0,4.793872,258.29428,8.53428,14.3398075,25.9542,10.0
PHX,2000-05-23,106.0,79.0,0.0,6.7103066,270.7591,9.78522,16.915234,28.979,14.0
PHX,2000-05-24,102.0,77.0,0.0,6.2451253,260.79648,8.65528,16.85423,30.9724,16.0
PHX,2000-05-25,95.0,73.0,0.0,6.225627,228.401,10.3903,17.43229,25.8038,13.0
PHX,2000-05-26,95.0,74.0,0.0,4.292479,267.96225,14.3403,26.225298,36.9837,9.0
PHX,2000-05-27,104.0,78.0,0.0,5.0891366,267.88098,15.1745,29.021225,96.2503,9.0
